Family Rust
3	5
3	3
8	9
8	9
9	9
9	9
10	9
10	9
12	9
12	9
14	9
14	9
16	4
16	7
18	2
18	4
20	9
20	9
21	7
21	3
23	9
23	9
27	3
27	3
29	3
29	4
33	4
33	4
36	6
36	4
40	9
40	9
42	9
42	9
45	3
45	3
46	9
46	9
47	9
47	9
49	4
49	2
51	9
51	9
53	3
53	3
55	3
55	3
56	6
56	4
59	9
59	9
62	9
62	9
63	4
63	5
65	2
65	6
71	9
71	9
82	5
82	3
87	9
87	9
91	9
91	9
97	9
97	9
98	2
98	4
102	2
102	3
106	9
106	9
109	9
109	9
112	9
112	9
114	4
114	4
115	9
115	9
117	9
117	9
128	9
128	9
130	9
130	9
132	9
132	9
134	9
134	9
137	9
137	9
142	9
142	9
148	9
148	9
149	2
149	3
159	9
159	9
160	2
160	4
